R,G,B,classe
193,182,172,cebolinha
178,201,204,cebolinha
46,154,92,cebolinha
160,157,135,cebolinha
182,190,179,cebolinha
81,168,105,cebolinha
140,164,173,cebolinha
182,169,147,cebolinha
177,170,114,cebolinha
213,197,186,cebolinha
173,157,128,cebolinha
149,174,138,cebolinha
154,171,163,cebolinha
97,144,153,cebolinha
182,174,157,cebolinha
107,150,117,cebolinha
213,213,205,cebolinha
133,147,117,cebolinha
187,158,80,cebolinha
63,151,106,cebolinha
152,153,146,cebolinha
189,186,173,cebolinha
186,172,159,cebolinha
164,162,152,cebolinha
208,199,183,cebolinha
124,152,111,cebolinha
195,191,171,cebolinha
221,214,207,cebolinha
224,220,213,cebolinha
207,201,191,cebolinha
124,138,114,cebolinha
168,154,126,cebolinha
203,199,189,cebolinha
151,150,126,cebolinha
113,100,87,cebolinha
159,158,138,cebolinha
194,188,174,cebolinha
191,186,172,cebolinha
124,170,116,cebolinha
160,131,143,cebolinha
181,179,96,cebolinha
112,134,120,cebolinha
194,199,194,cebolinha
179,172,88,cebolinha
192,198,182,cebolinha
179,168,125,cebolinha
157,150,132,cebolinha
165,163,148,cebolinha
149,167,132,cebolinha
170,159,137,cebolinha
131,146,135,cebolinha
129,164,101,cebolinha
213,212,201,cebolinha
206,195,186,cebolinha
200,192,181,cebolinha
211,202,192,cebolinha
148,140,117,cebolinha
151,107,93,cebolinha
76,90,64,cebolinha
206,197,182,cebolinha
181,155,100,cebolinha
115,112,106,cebolinha
92,141,110,cebolinha
124,161,90,cebolinha
147,142,122,cebolinha
113,165,110,cebolinha
62,151,57,cebolinha
84,120,62,cebolinha
186,209,195,cebolinha
181,204,189,cebolinha
206,220,207,cebolinha
205,218,204,cebolinha
188,211,191,cebolinha
187,205,187,cebolinha
189,212,197,cebolinha
201,214,200,cebolinha
174,162,137,cebolinha
175,173,167,cebolinha
189,185,179,cebolinha
145,153,144,cebolinha
178,153,139,cebolinha
136,141,119,cebolinha
119,153,136,cebolinha
206,198,181,cebolinha
153,123,99,cebolinha
198,185,182,cebolinha
128,134,108,cebolinha
156,131,112,cebolinha
139,137,103,cebolinha
173,175,154,cebolinha
192,184,179,cebolinha
186,184,178,cebolinha
117,89,75,cebolinha
183,174,160,cebolinha
94,98,92,cebolinha
174,160,108,cebolinha
97,160,118,cebolinha
145,154,109,cebolinha
224,203,196,cebolinha
215,211,197,cebolinha
183,140,83,cebolinha
90,143,89,cebolinha
152,170,129,cebolinha
153,148,139,cebolinha
140,136,97,cebolinha
160,145,120,cebolinha
163,156,97,cebolinha
202,195,168,cebolinha
198,185,165,cebolinha
164,129,120,cebolinha
161,154,108,cebolinha
201,194,180,cebolinha
160,157,151,cebolinha
158,165,140,cebolinha
165,166,152,cebolinha
199,152,149,cebolinha
150,130,109,cebolinha
189,173,56,cebolinha
131,118,105,cebolinha
154,143,132,cebolinha
102,141,149,cebolinha
175,164,148,cebolinha
186,181,163,cebolinha
215,201,191,cebolinha
233,223,214,cebolinha
206,195,185,cebolinha
208,204,196,cebolinha
83,149,107,cebolinha
48,158,93,cebolinha
215,218,195,cebolinha
204,198,116,cebolinha
164,173,153,cebolinha
82,152,103,cebolinha
201,185,172,cebolinha
163,178,164,cebolinha
84,165,125,cebolinha
168,178,157,cebolinha
73,64,51,cebolinha
212,212,208,cebolinha
43,148,82,cebolinha
195,189,174,cebolinha
215,201,191,cebolinha
185,167,165,monica
212,165,160,monica
160,143,141,monica
195,179,180,monica
220,187,185,monica
141,104,95,monica
180,159,153,monica
161,111,106,monica
195,159,158,monica
163,137,132,monica
180,134,136,monica
180,141,136,monica
183,136,139,monica
166,131,103,monica
168,164,165,monica
185,153,149,monica
191,143,147,monica
192,155,145,monica
204,175,167,monica
185,100,96,monica
224,179,182,monica
189,148,123,monica
166,143,99,monica
206,176,98,monica
185,168,142,monica
182,83,96,monica
196,178,177,monica
183,89,85,monica
160,113,87,monica
187,150,137,monica
151,97,81,monica
207,110,108,monica
178,164,131,monica
200,148,103,monica
180,170,169,monica
156,164,161,monica
128,139,162,monica
181,170,172,monica
182,129,104,monica
186,160,127,monica
155,154,158,monica
232,213,206,monica
202,170,162,monica
179,162,162,monica
163,131,110,monica
176,150,133,monica
212,141,74,monica
230,205,199,monica
188,147,108,monica
162,135,137,monica
155,138,121,monica
163,140,126,monica
174,131,125,monica
177,207,208,monica
203,171,165,monica
212,183,132,monica
185,152,142,monica
185,159,140,monica
159,153,104,monica
175,132,114,monica
173,150,135,monica
161,183,128,monica
180,151,133,monica
164,111,100,monica
173,158,158,monica
161,96,92,monica
175,163,146,monica
253,254,255,monica
169,159,160,monica
74,102,126,monica
190,148,111,monica
196,155,104,monica
174,85,79,monica
122,131,140,monica
166,135,137,monica
179,154,139,monica
191,163,132,monica
203,125,139,monica
182,163,159,monica
104,113,78,monica
191,161,149,monica
148,138,116,monica
149,182,195,monica
238,223,222,monica
226,223,223,monica
205,205,206,monica
223,199,198,monica
208,51,58,monica
208,154,163,monica
227,211,208,monica
235,220,217,monica
212,201,202,monica
198,204,204,monica
205,187,182,monica
215,99,101,monica
218,55,60,monica
214,195,192,monica
213,152,148,monica
205,164,150,monica
182,99,95,monica
211,143,155,monica
227,221,219,monica
213,200,198,monica
216,181,164,monica
212,188,180,monica
190,190,191,monica
187,180,181,monica
